Year,Station,Race/Ethnicity,Percentage
1998,Richmond,White,0.3
1998,Richmond,Black,0.55
1998,Richmond,Asian,0.11
1998,Richmond,Indigenous,0.01
1998,Richmond,Hispanic,0.19
1998,Richmond,Other,0.05
2008,Richmond,White,0.26
2008,Richmond,Black,0.33
2008,Richmond,Asian,0.13
2008,Richmond,Indigenous,0
2008,Richmond,Hispanic,0.25
2008,Richmond,Other,0.03
2015,Richmond,White,0.25
2015,Richmond,Black,0.25
2015,Richmond,Asian,0.1
2015,Richmond,Indigenous,0.01
2015,Richmond,Hispanic,0.37
2015,Richmond,Other,0.03
1998,Stationwide,White,0.52
1998,Stationwide,Black,0.12
1998,Stationwide,Asian,0.18
1998,Stationwide,Indigenous,0.01
1998,Stationwide,Hispanic,0.13
1998,Stationwide,Other,0.05
2008,Stationwide,White,0.47
2008,Stationwide,Black,0.11
2008,Stationwide,Asian,0.25
2008,Stationwide,Indigenous,0
2008,Stationwide,Hispanic,0.13
2008,Stationwide,Other,0.03
2015,Stationwide,White,0.44
2015,Stationwide,Black,0.12
2015,Stationwide,Asian,0.23
2015,Stationwide,Indigenous,0
2015,Stationwide,Hispanic,0.18
2015,Stationwide,Other,0.04
